vibration,label
-0.089252,defect
-0.067869,defect
0.071099,defect
-0.008404,defect
-0.046985,defect
-0.025967,defect
-0.042682,defect
0.078552,defect
-0.031243,defect
-0.008251,defect
-0.043482,defect
0.032284,defect
-0.032692,defect
-0.022527,defect
0.072672,defect
-0.107005,defect
0.054083,defect
-0.055941,defect
0.019709,defect
0.040839,defect
0.000692,defect
-0.000348,defect
-0.033508,defect
-0.062119,defect
-0.007531,defect
0.02038,defect
-0.008461,defect
0.04373,defect
0.030084,defect
-0.027019,defect
-0.051264,defect
-0.034057,defect
-0.036926,defect
0.078306,defect
-0.006418,defect
-0.032484,defect
-0.020438,defect
-0.021852,defect
0.034453,defect
0.020438,defect
-0.007314,defect
-0.037031,defect
0.022595,defect
0.114676,defect
0.084579,defect
-0.042406,defect
-0.02652,defect
0.043854,defect
0.01591,defect
0.030148,defect
-0.064992,defect
-0.061952,defect
-0.011116,defect
0.06286,defect
0.001059,defect
0.022428,defect
0.142696,defect
-0.075756,defect
-0.018365,defect
0.071381,defect
0.041694,defect
-0.087175,defect
-0.120897,defect
0.063915,defect
3.5e-05,defect
0.027221,defect
-0.034126,defect
0.024356,defect
0.043891,defect
0.058124,defect
0.038726,defect
-0.073022,defect
0.007155,defect
-0.011634,defect
0.032711,defect
-0.089407,defect
-0.019224,defect
0.011718,defect
-0.016018,defect
-0.022324,defect
0.096677,defect
0.049864,defect
-0.07716,defect
0.106493,defect
0.006544,defect
-0.115744,defect
-0.000276,defect
0.113573,defect
-0.19334,defect
0.019046,defect
0.09442,defect
-0.0642,defect
0.017252,defect
0.058679,defect
0.069039,defect
-0.032245,defect
0.085638,defect
-0.035647,defect
-0.066911,defect
-0.077456,defect
0.063993,defect
-0.015511,defect
-0.037829,defect
0.068946,defect
0.064532,defect
0.013696,defect
-0.045717,defect
0.126542,defect
0.027106,defect
0.016731,defect
-0.052046,defect
-0.050422,defect
-0.023939,defect
-0.010321,defect
0.003585,defect
-0.026873,defect
0.023721,defect
0.118322,defect
0.021863,defect
0.00604,defect
0.074267,defect
-0.081525,defect
-0.063814,defect
-0.015273,defect
-0.016917,defect
-0.001657,defect
-0.012842,defect
-0.019457,defect
0.034186,defect
0.020745,defect
0.145051,defect
-0.064798,defect
-0.082372,defect
0.109464,defect
0.039212,defect
-0.044347,defect
-0.073751,defect
0.110159,defect
-0.009801,defect
-0.120454,defect
0.009351,defect
0.038034,defect
0.078237,defect
0.032723,defect
0.003745,defect
0.095302,defect
-0.006912,defect
-0.074328,defect
-0.066662,defect
0.004512,defect
-0.027692,defect
-0.008764,defect
-0.017388,defect
0.077014,defect
0.078705,defect
-0.013341,defect
0.056163,defect
0.049397,defect
-0.023252,defect
-0.018903,defect
0.006679,defect
-0.008071,defect
-0.003747,defect
-0.048009,defect
0.112021,defect
-0.035465,defect
-0.01884,defect
0.065974,defect
0.088803,defect
-0.020613,defect
-0.058351,defect
0.118391,defect
-0.047099,defect
-0.085139,defect
0.002548,defect
0.039571,defect
-0.065034,defect
-0.000833,defect
0.063003,defect
0.034977,defect
-0.031054,defect
0.011964,defect
0.119675,defect
-0.006504,defect
-0.009257,defect
0.028553,defect
0.040019,defect
-0.027061,defect
-0.037725,defect
0.059442,defect
0.071517,defect
-0.038759,defect
-0.021932,defect
0.122566,defect
-0.054473,defect
-0.033585,defect
0.067287,defect
-0.052584,defect
-0.006959,defect
0.029085,defect
-0.020321,defect
-0.003541,defect
0.035639,defect
0.009336,defect
-0.001824,defect
0.0765,defect
0.046507,defect
-0.02657,defect
-0.011713,defect
-0.064415,defect
0.034641,defect
0.061463,defect
-0.164005,defect
-0.012601,defect
0.220346,defect
0.016241,defect
-0.121009,defect
0.059553,defect
0.114939,defect
-0.006258,defect
-0.144254,defect
0.072295,defect
0.067092,defect
-0.077633,defect
-0.012159,defect
-0.025376,defect
0.170167,defect
-0.046961,defect
-0.051282,defect
0.043734,defect
0.08731,defect
0.062339,defect
-0.026653,defect
0.048033,defect
-0.036749,defect
-0.010115,defect
0.024006,defect
0.074695,defect
-0.01629,defect
-0.034982,defect
0.007254,defect
0.072895,defect
-0.055882,defect
0.00062,defect
0.089056,defect
-0.027659,defect
0.017802,defect
-0.110871,defect
0.055558,defect
0.111908,defect
-0.09685,defect
-0.077761,defect
0.102581,defect
0.092855,defect
-0.05062,defect
0.050452,defect
0.055235,defect
-0.01635,defect
0.008092,defect
0.045182,defect
0.005874,defect
-0.095057,defect
0.060226,defect
0.084626,defect
-0.01115,defect
-0.045633,defect
-0.00485,defect
0.115068,defect
0.018464,defect
-0.032916,defect
-0.030413,defect
0.071915,defect
0.006445,defect
-0.044979,defect
0.039657,defect
0.027073,defect
0.058084,defect
0.011526,defect
-0.060935,defect
0.135699,defect
0.046788,defect
-0.0916,defect
-0.014103,defect
0.104726,defect
0.107828,defect
-0.117208,defect
-0.032924,defect
0.027265,defect
0.073241,defect
0.002164,defect
-0.059132,defect
0.043223,defect
0.047944,defect
0.019535,defect
-0.01139,defect
-0.011264,defect
0.054176,defect
-0.033247,defect
-0.065785,defect
0.060285,defect
0.009436,defect
-0.023064,defect
-0.065827,defect
0.138587,defect
0.105489,defect
-0.086424,defect
-0.002306,defect
0.02847,defect
0.144846,defect
-0.08995,defect
-0.141809,defect
0.117191,defect
0.066883,defect
-0.033126,defect
-0.064556,defect
0.137707,defect
0.097112,defect
-0.087795,defect
-0.030694,defect
0.118676,defect
0.084354,defect
-0.215601,defect
0.017963,defect
0.135036,defect
-0.030572,defect
-0.044361,defect
0.006354,defect
0.219095,defect
0.001187,defect
-0.133133,defect
0.081142,defect
0.055867,defect
-0.075953,defect
-0.055827,defect
0.065732,defect
-0.031262,defect
-0.078545,defect
0.063256,defect
0.008596,defect
-0.004056,defect
0.035414,defect
0.048989,defect
0.043417,defect
-0.064625,defect
0.01506,defect
0.021996,defect
-0.004529,defect
0.01612,defect
-0.039081,defect
0.095388,defect
0.10576,defect
-0.080607,defect
0.075361,defect
0.057568,defect
-0.053402,defect
0.033514,defect
-0.000106,defect
0.005755,defect
-0.038466,defect
-0.018102,defect
-0.013148,defect
0.028594,defect
-0.0033,defect
0.015771,defect
0.077011,defect
0.061234,defect
-0.010657,defect
-0.024536,defect
0.08998,defect
-0.043246,defect
-0.051447,defect
0.064298,defect
0.061092,defect
0.020599,defect
-0.012086,defect
-0.005877,defect
0.01909,defect
0.035883,defect
-0.023271,defect
0.001907,defect
-0.008254,defect
-0.021423,defect
-0.031479,defect
-0.073671,defect
-0.002389,defect
0.006493,defect
0.087191,defect
0.014636,defect
0.029022,defect
0.068161,defect
-0.039414,defect
0.015324,defect
0.025785,defect
0.02773,defect
-0.031873,defect
-0.050567,defect
0.095062,defect
0.075651,defect
-0.141108,defect
0.033256,defect
0.110046,defect
-0.02506,defect
-0.019783,defect
-0.034879,defect
0.058111,defect
0.033564,defect
-0.064091,defect
-0.10564,defect
0.129251,defect
0.034418,defect
-0.049099,defect
0.042874,defect
-0.008668,defect
0.125535,defect
-0.043004,defect
-0.039239,defect
0.023763,defect
0.035513,defect
-0.003178,defect
-0.104519,defect
0.06164,defect
0.047533,defect
0.01888,defect
0.001248,defect
0.015873,defect
0.079223,defect
-0.041013,defect
-0.055052,defect
-0.048516,defect
-0.046121,defect
-0.010831,defect
-0.032565,defect
-0.07789,defect
0.04007,defect
-0.002257,defect
-0.011265,defect
0.015281,defect
0.038668,defect
0.06519,defect
-0.10387,defect
-0.034953,defect
0.049283,defect
0.01296,defect
-0.136903,defect
0.009005,defect
0.072874,defect
0.052959,defect
0.033544,defect
-0.004141,defect
0.086209,defect
-0.020019,defect
0.011492,defect
0.004116,defect
-0.013293,defect
0.005409,defect
-0.043258,defect
-0.008004,defect
0.024784,defect
-0.014913,defect
-0.108553,defect
0.09265,defect
0.123989,defect
-0.009434,defect
-0.116398,defect
-0.023645,defect
0.079821,defect
-0.044802,defect
-0.055625,defect
-0.08395,defect
0.102234,defect
0.020902,defect
-0.040208,defect
0.001499,defect
0.02636,defect
0.051571,defect
-0.057948,defect
0.013237,defect
-0.014052,defect
-0.05403,defect
-0.053207,defect
-0.020497,defect
-0.015646,defect
-0.043912,defect
-0.034631,defect
0.037055,defect
0.035922,defect
-0.02749,defect
-0.067076,defect
-0.030655,defect
0.063046,defect
-0.103645,defect
-0.044579,defect
-0.048251,defect
0.031547,defect
-0.013009,defect
-0.013005,defect
0.023515,defect
-0.069498,defect
0.05455,defect
-0.084002,defect
0.007668,defect
0.01321,defect
-0.005265,defect
-0.002334,defect
-0.024476,defect
-0.017899,defect
-0.052678,defect
-0.04612,defect
-0.04055,defect
0.026385,defect
-0.039533,defect
-0.023735,defect
0.118265,defect
0.032842,defect
0.000632,defect
-0.112979,defect
-0.04337,defect
0.109501,defect
-0.022746,defect
-0.031417,defect
-0.032952,defect
0.036441,defect
-0.055121,defect
0.014015,defect
0.061834,defect
-0.069194,defect
-0.029324,defect
0.059401,defect
-0.034272,defect
-0.073507,defect
-0.054967,defect
-0.017671,defect
0.017596,defect
-0.067572,defect
-0.011586,defect
-0.051859,defect
-0.005976,defect
-0.068819,defect
0.071386,defect
0.010009,defect
-0.058518,defect
-0.030881,defect
-0.007534,defect
0.119554,defect
-0.107562,defect
-0.097996,defect
-0.053244,defect
0.059587,defect
-0.085682,defect
0.027085,defect
-0.00754,defect
0.029126,defect
-0.030111,defect
-0.064474,defect
0.09449,defect
-0.018095,defect
-0.029881,defect
-0.145767,defect
-0.02227,defect
0.002747,defect
0.00768,defect
-0.018701,defect
-0.086596,defect
-0.076246,defect
0.168103,defect
0.037732,defect
-0.051045,defect
-0.058471,defect
0.012909,defect
-0.01016,defect
0.01653,defect
0.025191,defect
-0.139853,defect
-0.007544,defect
0.010795,defect
0.011407,defect
-0.035107,defect
-0.024247,defect
-0.041986,defect
0.07038,defect
0.030921,defect
-0.021099,defect
-0.074122,defect
-0.020987,defect
0.020525,defect
-0.057986,defect
-0.027481,defect
-0.088172,defect
-0.002675,defect
0.045552,defect
0.013678,defect
-0.023351,defect
-0.090159,defect
0.010434,defect
0.089935,defect
-0.030465,defect
-0.169506,defect
-0.002319,defect
0.105994,defect
-0.072025,defect
-0.081757,defect
-0.033091,defect
0.022595,defect
-0.059912,defect
0.020201,defect
0.014356,defect
-0.033756,defect
-0.033608,defect
-0.042517,defect
-0.006694,defect
-0.035699,defect
0.018089,defect
-0.110953,defect
0.02676,defect
-0.031832,defect
-0.02775,defect
0.081644,defect
-0.141231,defect
-0.014836,defect
0.083588,defect
0.00331,defect
-0.063249,defect
0.013237,defect
-0.025686,defect
-0.102919,defect
0.020205,defect
-0.009178,defect
0.058067,defect
-0.109277,defect
-0.005929,defect
0.0926,defect
0.013898,defect
0.00389,defect
-0.15085,defect
0.044194,defect
0.044728,defect
-0.07587,defect
-0.043783,defect
0.052889,defect
0.030595,defect
-0.065402,defect
-0.103571,defect
0.0642,defect
0.086714,defect
-0.050988,defect
-0.145233,defect
-0.004123,defect
0.090039,defect
-0.048735,defect
-0.102712,defect
-0.019202,defect
0.029045,defect
-0.02239,defect
0.000207,defect
-0.087171,defect
-0.033439,defect
0.00752,defect
-0.047949,defect
0.058522,defect
0.02488,defect
-0.091332,defect
0.009492,defect
0.047906,defect
0.007533,defect
-0.128587,defect
-0.019835,defect
0.091495,defect
0.022972,defect
-0.138337,defect
